Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2008Q3,CENTRAL GREEN CONDOMINIUM,03,3.35,3.87,4.26
2008Q3,EMERALD PARK,03,3.51,3.77,3.97
2008Q3,LANDMARK TOWER,03,2.53,2.81,3.22
2008Q3,PEARL BANK APARTMENT,03,2.06,2.33,2.52
2008Q3,QUEENS,03,4.03,4.34,4.73
2008Q3,RIVER PLACE,03,4.65,4.93,5.40
2008Q3,TANGLIN VIEW,03,4.51,4.65,5.00
2008Q3,THE ANCHORAGE,03,2.87,3.19,3.44
2008Q3,TIONG BAHRU ESTATE,03,2.38,2.57,2.93
