Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2018Q2,ALEX RESIDENCES,03,4.34,4.72,5.17
2018Q2,ALEXIS,03,3.88,4.55,5.02
2018Q2,ASCENTIA SKY,03,3.65,3.87,3.97
2018Q2,CENTRAL GREEN CONDOMINIUM,03,3.10,3.17,3.67
2018Q2,COMMONWEALTH TOWERS,03,4.32,4.75,4.99
2018Q2,DOMAIN 21,03,4.09,4.20,4.67
2018Q2,ECHELON,03,4.10,4.59,5.20
2018Q2,EMERALD PARK,03,3.04,3.16,3.32
2018Q2,HIGHLINE RESIDENCES,03,4.84,5.45,5.85
2018Q2,LANDMARK TOWER,03,2.60,2.75,2.90
2018Q2,MERAPRIME,03,4.37,4.66,5.07
2018Q2,PEARL BANK APARTMENT,03,1.70,1.84,2.66
2018Q2,QUEENS,03,3.21,3.59,3.94
2018Q2,RIVER PLACE,03,3.64,3.91,4.25
2018Q2,TANGLIN VIEW,03,3.14,3.35,3.64
2018Q2,THE ANCHORAGE,03,2.51,2.65,2.82
2018Q2,THE CREST,03,4.04,4.35,4.57
2018Q2,THE METROPOLITAN CONDOMINIUM,03,3.22,3.67,4.07
2018Q2,TIONG BAHRU ESTATE,03,2.45,3.48,4.04
2018Q2,TWIN REGENCY,03,4.42,4.67,4.88
