Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2017Q3,ALEXIS,03,4.11,5.02,5.52
2017Q3,ASCENTIA SKY,03,3.46,3.73,4.33
2017Q3,CENTRAL GREEN CONDOMINIUM,03,3.10,3.23,3.48
2017Q3,ECHELON,03,4.44,4.92,5.46
2017Q3,EMERALD PARK,03,3.09,3.18,3.43
2017Q3,PEARL BANK APARTMENT,03,2.15,2.24,2.58
2017Q3,QUEENS,03,3.21,3.62,3.91
2017Q3,RIVER PLACE,03,3.52,3.79,4.16
2017Q3,TANGLIN VIEW,03,3.15,3.37,3.64
2017Q3,THE ANCHORAGE,03,2.53,2.66,2.84
2017Q3,THE METROPOLITAN CONDOMINIUM,03,3.36,3.60,4.13
2017Q3,THE REGENCY AT TIONG BAHRU,03,3.93,4.25,4.48
2017Q3,TIONG BAHRU ESTATE,03,3.20,3.36,3.64
2017Q3,TWIN REGENCY,03,4.06,4.46,4.67
