Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2017Q4,ALEX RESIDENCES,03,4.65,4.87,5.16
2017Q4,ALEXIS,03,3.48,4.51,5.45
2017Q4,ASCENTIA SKY,03,3.39,3.86,4.27
2017Q4,CENTRAL GREEN CONDOMINIUM,03,3.13,3.27,3.62
2017Q4,DOMAIN 21,03,3.74,3.91,4.14
2017Q4,ECHELON,03,4.51,5.10,5.70
2017Q4,EMERALD PARK,03,3.06,3.18,3.41
2017Q4,MERAPRIME,03,4.44,4.60,4.92
2017Q4,PEARL BANK APARTMENT,03,1.08,2.06,2.80
2017Q4,QUEENS,03,3.13,3.44,3.86
2017Q4,RIVER PLACE,03,3.59,3.84,4.15
2017Q4,TANGLIN VIEW,03,3.19,3.28,3.57
2017Q4,THE ANCHORAGE,03,2.59,2.71,2.89
2017Q4,THE CREST,03,4.16,4.48,4.97
2017Q4,THE METROPOLITAN CONDOMINIUM,03,3.22,3.70,3.94
2017Q4,THE REGENCY AT TIONG BAHRU,03,4.06,4.25,4.49
2017Q4,TIONG BAHRU ESTATE,03,3.13,3.44,3.87
2017Q4,TWIN REGENCY,03,4.28,4.59,4.89
