Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2013Q2,ALESSANDREA,03,3.94,4.24,4.39
2013Q2,ALEXIS,03,5.04,6.62,7.96
2013Q2,CENTRAL GREEN CONDOMINIUM,03,3.48,3.79,4.43
2013Q2,DOMAIN 21,03,4.98,5.58,6.86
2013Q2,EMERALD PARK,03,3.92,4.15,4.39
2013Q2,LANDMARK TOWER,03,2.86,3.28,3.60
2013Q2,MERAPRIME,03,4.91,5.00,5.52
2013Q2,PEARL BANK APARTMENT,03,1.27,2.08,2.79
2013Q2,QUEENS,03,4.17,4.32,4.65
2013Q2,RIVER PLACE,03,4.54,4.89,5.15
2013Q2,TANGLIN VIEW,03,4.01,4.34,5.00
2013Q2,THE ANCHORAGE,03,3.09,3.28,3.44
2013Q2,THE METROPOLITAN CONDOMINIUM,03,4.00,4.54,5.35
2013Q2,TIONG BAHRU ESTATE,03,3.20,3.64,4.17
2013Q2,TWIN REGENCY,03,5.01,5.30,5.60
