Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2017Q2,ALEXIS,03,3.80,4.69,5.48
2017Q2,ASCENTIA SKY,03,3.66,3.90,4.22
2017Q2,CENTRAL GREEN CONDOMINIUM,03,3.16,3.40,3.83
2017Q2,ECHELON,03,4.16,4.53,4.87
2017Q2,EMERALD PARK,03,3.10,3.22,3.48
2017Q2,MERAPRIME,03,4.72,5.12,5.33
2017Q2,PEARL BANK APARTMENT,03,1.93,2.43,2.82
2017Q2,QUEENS,03,3.33,3.65,4.03
2017Q2,RIVER PLACE,03,3.74,3.90,4.45
2017Q2,TANGLIN VIEW,03,3.01,3.23,3.50
2017Q2,THE ANCHORAGE,03,2.54,2.67,2.94
2017Q2,THE METROPOLITAN CONDOMINIUM,03,3.11,3.50,3.93
2017Q2,TIONG BAHRU ESTATE,03,3.17,3.59,3.89
2017Q2,TWIN REGENCY,03,4.49,4.86,5.16
