Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2013Q1,ALEXIS,03,5.83,7.23,7.98
2013Q1,CENTRAL GREEN CONDOMINIUM,03,3.48,3.79,4.27
2013Q1,EMERALD PARK,03,4.15,4.39,4.71
2013Q1,MERAPRIME,03,4.76,4.92,5.13
2013Q1,QUEENS,03,4.25,4.38,4.60
2013Q1,RIVER PLACE,03,4.65,4.95,5.13
2013Q1,TANGLIN VIEW,03,4.31,4.51,4.83
2013Q1,THE ANCHORAGE,03,3.04,3.26,3.52
2013Q1,THE METROPOLITAN CONDOMINIUM,03,3.92,4.19,5.16
2013Q1,TIONG BAHRU ESTATE,03,3.13,3.63,4.40
2013Q1,TWIN REGENCY,03,5.09,5.51,5.65
