Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2013Q3,ALEXIS,03,6.80,7.55,8.00
2013Q3,ASCENTIA SKY,03,4.34,4.74,5.09
2013Q3,CENTRAL GREEN CONDOMINIUM,03,3.42,3.87,4.26
2013Q3,EMERALD PARK,03,3.74,3.92,4.17
2013Q3,LANDMARK TOWER,03,2.87,2.99,3.04
2013Q3,MERAPRIME,03,4.95,5.34,5.79
2013Q3,PEARL BANK APARTMENT,03,1.47,2.60,3.09
2013Q3,QUEENS,03,4.17,4.34,4.53
2013Q3,RIVER PLACE,03,4.58,4.81,5.31
2013Q3,TANGLIN VIEW,03,4.20,4.42,4.65
2013Q3,THE ANCHORAGE,03,2.91,3.21,3.44
2013Q3,THE METROPOLITAN CONDOMINIUM,03,4.01,4.22,4.83
2013Q3,THE REGENCY AT TIONG BAHRU,03,4.17,4.62,4.92
2013Q3,TIONG BAHRU ESTATE,03,2.96,3.59,4.30
2013Q3,TWIN REGENCY,03,4.87,5.48,5.82
