Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2012Q4,ALEXIS,03,5.33,5.75,6.64
2012Q4,CENTRAL GREEN CONDOMINIUM,03,3.48,3.87,4.54
2012Q4,DOMAIN 21,03,4.77,4.99,5.53
2012Q4,EMERALD PARK,03,3.68,4.15,4.50
2012Q4,PEARL BANK APARTMENT,03,2.17,2.64,3.27
2012Q4,QUEENS,03,4.21,4.38,4.65
2012Q4,RIVER PLACE,03,4.53,4.77,5.32
2012Q4,TANGLIN VIEW,03,4.15,4.37,4.51
2012Q4,THE ANCHORAGE,03,3.08,3.29,3.58
2012Q4,THE METROPOLITAN CONDOMINIUM,03,4.02,4.19,4.75
2012Q4,THE REGENCY AT TIONG BAHRU,03,3.73,4.25,4.70
2012Q4,TIONG BAHRU ESTATE,03,2.80,3.35,3.77
