Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2017Q1,ALEXIS,03,4.82,5.24,5.71
2017Q1,ASCENTIA SKY,03,3.66,3.87,4.12
2017Q1,CENTRAL GREEN CONDOMINIUM,03,3.17,3.29,3.76
2017Q1,DOMAIN 21,03,4.02,4.22,4.51
2017Q1,ECHELON,03,4.02,4.37,4.78
2017Q1,EMERALD PARK,03,3.07,3.29,3.44
2017Q1,MERAPRIME,03,4.47,4.86,5.17
2017Q1,PEARL BANK APARTMENT,03,1.99,2.47,2.80
2017Q1,QUEENS,03,3.30,3.64,4.12
2017Q1,RIVER PLACE,03,3.68,4.00,4.30
2017Q1,TANGLIN VIEW,03,3.28,3.39,3.55
2017Q1,THE ANCHORAGE,03,2.59,2.71,2.92
2017Q1,THE METROPOLITAN CONDOMINIUM,03,3.13,3.61,4.02
2017Q1,THE REGENCY AT TIONG BAHRU,03,3.67,4.38,4.84
2017Q1,TIONG BAHRU ESTATE,03,3.22,3.56,3.95
2017Q1,TWIN REGENCY,03,4.69,4.70,5.15
