Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2012Q1,CENTRAL GREEN CONDOMINIUM,03,3.35,3.79,4.26
2012Q1,DOMAIN 21,03,4.54,4.78,5.43
2012Q1,EMERALD PARK,03,3.54,3.88,3.95
2012Q1,MERAPRIME,03,4.60,4.82,5.57
2012Q1,PEARL BANK APARTMENT,03,2.16,2.52,2.80
2012Q1,QUEENS,03,4.03,4.29,4.56
2012Q1,RIVER PLACE,03,4.39,4.83,5.02
2012Q1,TANGLIN VIEW,03,3.98,4.24,4.55
2012Q1,THE ANCHORAGE,03,2.80,3.10,3.39
2012Q1,THE METROPOLITAN CONDOMINIUM,03,3.81,4.27,5.16
2012Q1,TIONG BAHRU ESTATE,03,2.76,3.10,3.34
