Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2018Q4,ALEX RESIDENCES,03,4.32,4.42,5.44
2018Q4,ALEXIS,03,3.88,4.65,5.03
2018Q4,ASCENTIA SKY,03,3.39,3.70,3.87
2018Q4,CENTRAL GREEN CONDOMINIUM,03,2.96,3.19,3.58
2018Q4,COMMONWEALTH TOWERS,03,4.50,4.95,5.33
2018Q4,DOMAIN 21,03,3.91,4.07,4.28
2018Q4,ECHELON,03,3.94,4.10,4.99
2018Q4,EMERALD PARK,03,3.09,3.21,3.34
2018Q4,HIGHLINE RESIDENCES,03,4.93,5.53,6.13
2018Q4,LANDMARK TOWER,03,2.49,2.72,3.20
2018Q4,MERAPRIME,03,4.21,4.58,4.95
2018Q4,QUEENS,03,3.07,3.30,3.51
2018Q4,RIVER PLACE,03,3.53,3.88,4.27
2018Q4,TANGLIN VIEW,03,3.07,3.28,3.46
2018Q4,THE ANCHORAGE,03,2.43,2.58,2.84
2018Q4,THE CREST,03,4.21,4.38,4.94
2018Q4,THE METROPOLITAN CONDOMINIUM,03,3.29,3.59,4.07
2018Q4,THE REGENCY AT TIONG BAHRU,03,3.90,4.17,4.37
2018Q4,TIONG BAHRU ESTATE,03,2.75,3.29,4.03
2018Q4,TWIN REGENCY,03,4.28,4.52,4.70
