Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2018Q3,ALEX RESIDENCES,03,4.68,5.09,5.32
2018Q3,ALEXIS,03,4.24,5.02,5.52
2018Q3,ASCENTIA SKY,03,3.48,3.57,3.89
2018Q3,CENTRAL GREEN CONDOMINIUM,03,2.89,3.10,3.33
2018Q3,COMMONWEALTH TOWERS,03,4.09,4.65,5.08
2018Q3,ECHELON,03,4.37,4.78,5.46
2018Q3,EMERALD PARK,03,3.06,3.21,3.36
2018Q3,HIGHLINE RESIDENCES,03,4.71,5.05,5.72
2018Q3,MERAPRIME,03,4.13,4.40,5.08
2018Q3,PEARL BANK APARTMENT,03,1.79,2.16,2.52
2018Q3,QUEENS,03,3.18,3.44,3.69
2018Q3,RIVER PLACE,03,3.51,3.74,3.94
2018Q3,TANGLIN VIEW,03,3.19,3.32,3.52
2018Q3,THE ANCHORAGE,03,2.49,2.60,2.81
2018Q3,THE CREST,03,4.31,4.42,4.71
2018Q3,THE METROPOLITAN CONDOMINIUM,03,3.61,3.73,3.95
2018Q3,THE REGENCY AT TIONG BAHRU,03,3.95,4.08,4.40
2018Q3,TIONG BAHRU ESTATE,03,3.03,3.53,4.23
2018Q3,TWIN REGENCY,03,4.20,4.53,4.98
