Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2013Q4,ALEXIS,03,6.19,6.65,7.23
2013Q4,ASCENTIA SKY,03,3.87,4.74,4.99
2013Q4,CENTRAL GREEN CONDOMINIUM,03,3.56,3.79,4.21
2013Q4,DOMAIN 21,03,4.77,4.89,6.03
2013Q4,EMERALD PARK,03,3.65,3.80,4.07
2013Q4,MERAPRIME,03,5.00,5.43,5.57
2013Q4,PEARL BANK APARTMENT,03,1.74,2.47,2.69
2013Q4,QUEENS,03,4.19,4.32,4.50
2013Q4,RIVER PLACE,03,4.42,4.84,5.39
2013Q4,TANGLIN VIEW,03,4.10,4.23,4.40
2013Q4,THE ANCHORAGE,03,3.15,3.28,3.44
2013Q4,THE METROPOLITAN CONDOMINIUM,03,4.00,4.54,4.65
2013Q4,TIONG BAHRU ESTATE,03,3.16,3.60,4.39
2013Q4,TWIN REGENCY,03,5.11,5.25,5.53
