Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2018Q1,ALESSANDREA,03,3.00,3.10,3.39
2018Q1,ALEX RESIDENCES,03,4.42,4.87,5.28
2018Q1,ALEXIS,03,4.06,4.78,5.55
2018Q1,ASCENTIA SKY,03,3.46,3.69,3.93
2018Q1,CENTRAL GREEN CONDOMINIUM,03,3.08,3.27,3.66
2018Q1,DOMAIN 21,03,3.79,4.31,4.76
2018Q1,ECHELON,03,4.30,4.58,5.53
2018Q1,EMERALD PARK,03,3.11,3.21,3.45
2018Q1,MERAPRIME,03,4.49,4.71,4.88
2018Q1,PEARL BANK APARTMENT,03,1.67,1.89,2.14
2018Q1,QUEENS,03,3.21,3.51,3.91
2018Q1,RIVER PLACE,03,3.60,3.82,4.16
2018Q1,TANGLIN VIEW,03,3.19,3.40,3.60
2018Q1,THE ANCHORAGE,03,2.58,2.70,2.90
2018Q1,THE CREST,03,4.06,4.32,4.72
2018Q1,THE METROPOLITAN CONDOMINIUM,03,3.29,3.78,4.00
2018Q1,THE REGENCY AT TIONG BAHRU,03,4.29,4.37,4.37
2018Q1,TIONG BAHRU ESTATE,03,2.95,3.32,3.84
