Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2012Q2,CENTRAL GREEN CONDOMINIUM,03,3.48,3.79,4.32
2012Q2,EMERALD PARK,03,3.68,3.92,4.15
2012Q2,LANDMARK TOWER,03,3.04,3.21,3.80
2012Q2,MERAPRIME,03,4.72,5.00,5.17
2012Q2,PEARL BANK APARTMENT,03,1.62,1.97,2.38
2012Q2,QUEENS,03,4.21,4.34,4.68
2012Q2,RIVER PLACE,03,4.58,4.83,5.09
2012Q2,TANGLIN VIEW,03,4.19,4.46,4.53
2012Q2,THE ANCHORAGE,03,2.83,3.10,3.32
2012Q2,THE METROPOLITAN CONDOMINIUM,03,3.70,4.27,5.16
2012Q2,THE REGENCY AT TIONG BAHRU,03,4.38,4.59,4.70
2012Q2,TIONG BAHRU ESTATE,03,2.80,3.06,3.22
2012Q2,TWIN REGENCY,03,4.69,5.09,5.48
