Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2023Q1,18 WOODSVILLE,13,4.63,5.36,5.81
2023Q1,26 NEWTON,11,5.58,6.79,7.55
2023Q1,38 I SUITES,15,4.48,5.69,6.40
2023Q1,6 DERBYSHIRE,11,5.34,6.53,6.99
2023Q1,76 SHENTON,02,6.75,7.60,8.08
2023Q1,8 @ MOUNT SOPHIA,09,4.89,5.23,5.43
2023Q1,8 SAINT THOMAS,09,7.40,7.66,8.72
2023Q1,8@WOODLEIGH,13,4.72,5.40,5.83
2023Q1,A TREASURE TROVE,19,3.75,4.13,4.79
2023Q1,AIRSTREAM,12,5.40,6.58,7.12
2023Q1,ALEX RESIDENCES,03,6.81,7.62,7.96
2023Q1,ALEXIS,03,6.38,7.45,8.04
2023Q1,ALTEZ,02,7.12,7.86,8.53
2023Q1,AMARYLLIS VILLE,11,5.28,5.57,6.26
2023Q1,AMBERGLADES,15,4.08,4.24,4.42
2023Q1,AQUARIUS BY THE PARK,16,2.99,3.32,3.82
2023Q1,ARCHIPELAGO,16,4.18,4.59,5.44
2023Q1,ARDMORE PARK,10,6.93,7.28,7.97
2023Q1,ARTRA,03,6.62,7.00,7.60
2023Q1,ASCENTIA SKY,03,5.13,5.64,6.03
2023Q1,ASPEN HEIGHTS,09,4.91,5.29,5.67
2023Q1,ASTORIA PARK,14,3.54,4.04,4.56
2023Q1,ASTRID MEADOWS,10,4.06,4.67,4.89
2023Q1,AVA TOWERS,12,2.58,2.86,3.04
2023Q1,AVILA GARDENS,17,2.73,3.16,3.58
2023Q1,AVON PARK,13,3.30,3.55,3.95
2023Q1,AZALEA PARK CONDOMINIUM,17,3.05,3.15,3.22
2023Q1,BANYAN CONDOMINIUM,05,2.68,2.89,3.18
2023Q1,BARTLEY RESIDENCES,19,4.50,4.77,5.39
2023Q1,BARTLEY RIDGE,13,5.01,5.47,6.08
2023Q1,BAYSHORE PARK,16,3.48,3.84,4.18
2023Q1,BEACON HEIGHTS,12,3.92,4.50,4.79
