Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2023Q3,# 1 SUITES,14,5.65,6.02,6.48
2023Q3,120 GRANGE,10,8.28,8.50,8.72
2023Q3,18 WOODSVILLE,13,4.70,5.46,6.06
2023Q3,1953,08,6.03,6.27,6.81
2023Q3,26 NEWTON,11,6.89,7.18,7.44
2023Q3,368 THOMSON,11,4.52,5.13,5.25
2023Q3,38 I SUITES,15,4.92,5.52,5.79
2023Q3,6 DERBYSHIRE,11,6.03,6.52,7.02
2023Q3,76 SHENTON,02,6.30,6.82,7.55
2023Q3,8 @ MOUNT SOPHIA,09,4.82,5.17,5.45
2023Q3,8 BASSEIN,11,5.71,6.75,7.19
2023Q3,8 SAINT THOMAS,09,6.91,7.23,7.80
2023Q3,8@WOODLEIGH,13,4.91,5.16,5.37
2023Q3,A TREASURE TROVE,19,4.00,4.32,4.76
2023Q3,AALTO,15,4.70,5.21,5.74
2023Q3,ADAM PARK CONDOMINIUM,11,3.79,3.95,4.14
2023Q3,ADRIA,11,5.47,5.87,6.30
2023Q3,AFFINITY AT SERANGOON,19,5.46,5.77,6.12
2023Q3,ALESSANDREA,03,4.52,4.65,5.01
2023Q3,ALEX RESIDENCES,03,6.88,7.51,7.83
2023Q3,ALEXIS,03,5.47,7.02,8.20
2023Q3,ALTEZ,02,7.07,7.63,8.20
2023Q3,AMARANDA GARDENS,19,4.13,4.13,4.60
2023Q3,AMARYLLIS VILLE,11,5.38,5.64,5.86
2023Q3,AMBER 45,15,6.85,7.15,7.53
2023Q3,AMBERGLADES,15,4.23,4.33,4.51
2023Q3,AQUARIUS BY THE PARK,16,3.22,3.40,4.01
2023Q3,ARCHIPELAGO,16,4.09,4.62,4.90
2023Q3,ARDMORE II,10,7.23,7.66,7.98
2023Q3,ARDMORE PARK,10,6.76,6.93,7.63
2023Q3,ARENA RESIDENCES,14,6.72,6.94,6.97
2023Q3,ARTRA,03,6.68,7.18,8.01
2023Q3,ASCENTIA SKY,03,5.49,6.23,6.38
2023Q3,ASPEN HEIGHTS,09,4.55,4.96,5.37
2023Q3,ASTORIA PARK,14,3.92,4.18,4.46
2023Q3,ASTRID MEADOWS,10,4.55,4.74,5.09
2023Q3,ATRIUM RESIDENCES,14,3.97,4.20,4.46
2023Q3,AVANT RESIDENCES,14,5.99,6.30,6.48
2023Q3,AVENUE SOUTH RESIDENCE,03,6.40,6.74,7.02
2023Q3,AVILA GARDENS,17,2.97,3.46,4.15
2023Q3,AVON PARK,13,3.22,3.85,4.33
2023Q3,AZALEA PARK CONDOMINIUM,17,2.96,3.17,3.63
2023Q3,BALLOTA PARK CONDOMINIUM,17,2.82,3.05,3.23
2023Q3,BANYAN CONDOMINIUM,05,2.89,3.14,3.23
2023Q3,BARTLEY RESIDENCES,19,4.46,5.05,6.70
2023Q3,BARTLEY RIDGE,13,4.77,5.26,5.88
2023Q3,BAYSHORE PARK,16,3.27,3.74,4.16
2023Q3,BEACON HEIGHTS,12,4.25,4.46,4.76
2023Q3,BEDOK RESIDENCES,16,5.18,5.69,6.54
2023Q3,BELLE VUE RESIDENCES,09,5.45,5.75,6.16
2023Q3,BIJOU,05,5.36,6.11,6.45
2023Q3,BISHAN 8,20,3.96,4.21,4.39
