Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2023Q3,BLISS@KOVAN,19,4.23,4.52,4.86
2023Q3,BLOSSOMS @ WOODLEIGH,13,4.12,4.60,4.81
2023Q3,BLUE HORIZON,05,4.53,4.86,5.25
2023Q3,BOTANIC GARDENS MANSION,10,3.79,4.08,4.34
2023Q3,BOTANIQUE AT BARTLEY,19,5.35,5.87,6.36
2023Q3,BOTANNIA,05,4.27,4.71,4.95
2023Q3,BUKIT REGENCY,21,2.86,3.29,3.45
2023Q3,BULLION PARK,26,3.07,3.39,3.72
2023Q3,BURLINGTON SQUARE,07,5.13,5.73,6.03
2023Q3,CAIRNHILL CREST,09,5.19,5.48,5.71
2023Q3,CAIRNHILL NINE,09,7.90,8.08,8.53
2023Q3,CAIRNHILL PLAZA,09,3.36,3.41,3.63
2023Q3,CAIRNHILL RESIDENCES,09,5.98,6.08,6.54
2023Q3,CAPE ROYALE,04,4.98,5.57,6.57
2023Q3,CARABELLE,05,4.01,4.45,4.76
2023Q3,CARDIFF RESIDENCE,19,6.13,6.72,6.92
2023Q3,CARIBBEAN AT KEPPEL BAY,04,5.51,6.04,6.28
2023Q3,CARISSA PARK CONDOMINIUM,17,3.01,3.12,3.58
2023Q3,CASA AERATA,14,5.64,5.91,6.19
2023Q3,CASA CAMBIO,19,5.64,6.34,6.57
2023Q3,CASA FORTUNA,12,4.68,5.93,6.13
2023Q3,CASA MERAH,16,4.06,4.21,4.41
2023Q3,CASABLANCA,25,3.57,3.79,4.12
2023Q3,CASHEW HEIGHTS CONDOMINIUM,23,2.78,3.02,3.14
2023Q3,CASPIAN,22,4.19,4.54,4.81
2023Q3,CASTLE GREEN,26,3.30,3.62,3.74
2023Q3,CAVENAGH GARDENS,09,3.23,3.44,4.13
2023Q3,CAVENDISH PARK,21,3.80,4.07,4.26
2023Q3,CENTENNIA SUITES,09,5.37,5.84,6.27
2023Q3,CENTRA RESIDENCE,14,5.64,6.74,6.96
2023Q3,CENTRAL GREEN CONDOMINIUM,03,4.32,4.73,5.08
2023Q3,CENTRAL GROVE,14,3.87,3.98,4.07
2023Q3,CENTRO RESIDENCES,20,4.59,4.82,5.11
2023Q3,CHANGI COURT,16,3.46,3.67,3.92
2023Q3,CHANGI GREEN,16,2.96,3.60,3.70
2023Q3,CHANGI RISE CONDOMINIUM,18,3.36,3.57,3.67
2023Q3,CHARLESTON,10,4.77,4.90,4.98
2023Q3,CHILTERN PARK,19,3.37,3.63,3.85
2023Q3,CHUAN PARK,19,2.56,2.98,3.28
2023Q3,CITY GATE,07,4.76,6.45,7.30
2023Q3,CITY SQUARE RESIDENCES,08,4.85,5.17,5.85
2023Q3,CITYLIGHTS,08,5.28,6.05,6.34
2023Q3,CITYSCAPE @FARRER PARK,08,4.06,4.21,4.37
2023Q3,CLEMENTI PARK,21,2.82,3.27,3.69
2023Q3,CLEMENTIWOODS CONDOMINIUM,05,4.16,4.61,4.88
2023Q3,CLIVEDEN AT GRANGE,10,5.67,5.81,5.91
2023Q3,CLOVER BY THE PARK,20,4.26,4.38,4.60
2023Q3,COCO PALMS,18,4.59,5.04,5.44
2023Q3,COMMONWEALTH TOWERS,03,7.09,7.84,8.17
2023Q3,COMPASS HEIGHTS,19,3.51,3.60,4.20
2023Q3,CONCOURSE SKYLINE,07,5.73,6.04,6.20
2023Q3,CORALS AT KEPPEL BAY,04,6.21,6.49,6.86
2023Q3,COSTA DEL SOL,16,4.41,4.56,4.75
2023Q3,COSTA RHU,15,3.94,4.13,4.45
2023Q3,COTE D'AZUR,15,4.33,4.53,4.76
2023Q3,CRADELS,12,5.51,6.57,6.91
2023Q3,CRAIG PLACE,02,6.34,6.61,7.01
2023Q3,CUBE 8,11,4.78,4.98,5.90
2023Q3,CUSCADEN RESIDENCES,10,5.59,5.73,5.87
2023Q3,CYAN,10,5.28,5.69,5.97
2023Q3,D'LEEDON,10,5.26,5.57,6.05
2023Q3,D'NEST,18,4.38,4.80,5.78
2023Q3,D'WEAVE,14,4.82,6.28,6.65
2023Q3,DAHLIA PARK CONDOMINIUM,17,2.83,3.23,3.42
2023Q3,DAKOTA RESIDENCES,14,4.65,5.08,5.34
2023Q3,DEVONSHIRE RESIDENCES,09,7.27,7.67,8.71
2023Q3,DOMUS,12,4.87,5.13,6.49
2023Q3,DOUBLE BAY RESIDENCES,18,3.96,4.11,4.33
2023Q3,DOVER PARKVIEW,05,4.22,4.40,4.59
2023Q3,DRAYCOTT EIGHT,10,5.50,6.48,6.97
2023Q3,DUCHESS CREST,10,4.53,4.77,5.10
2023Q3,DUO RESIDENCES,07,7.13,7.74,8.22
2023Q3,E MAISON,13,4.25,4.73,4.85
2023Q3,EAST MEADOWS,16,3.48,3.72,3.95
2023Q3,EASTERN LAGOON,15,3.57,4.13,4.43
2023Q3,EASTPOINT GREEN,18,3.45,3.65,3.92
2023Q3,ECHELON,03,6.70,7.22,7.72
2023Q3,ECO,16,4.84,5.16,5.57
2023Q3,ECO SANCTUARY,23,5.04,5.24,5.37
2023Q3,EDELWEISS PARK CONDOMINIUM,17,3.06,3.51,3.65
2023Q3,EIGHT COURTYARDS,27,3.60,3.86,4.18
2023Q3,EIGHT RIVERSUITES,12,5.15,5.51,7.05
2023Q3,ELIAS GREEN,18,2.82,2.98,3.08
2023Q3,EMERALD GARDEN,01,4.74,5.21,5.59
2023Q3,EMERALD PARK,03,4.43,4.52,4.65
2023Q3,EON SHENTON,02,7.93,8.22,8.36
2023Q3,ESPADA,09,6.86,7.26,8.73
2023Q3,ESTELLA GARDENS,17,3.11,3.57,3.92
2023Q3,EUHABITAT,14,3.98,5.38,5.75
2023Q3,EURO-ASIA PARK,13,3.09,3.82,4.24
2023Q3,EVERGREEN PARK,19,3.48,3.56,3.73
2023Q3,FABER CREST,05,3.55,3.84,4.14
2023Q3,FERNWOOD TOWERS,15,2.57,2.93,3.53
2023Q3,FERRARIA PARK CONDOMINIUM,17,3.35,3.66,3.99
2023Q3,FLAMINGO VALLEY,15,4.05,4.65,5.15
2023Q3,FLO RESIDENCE,19,4.41,4.65,4.84
2023Q3,FLORIDIAN,21,5.09,5.28,5.68
2023Q3,FORESQUE RESIDENCES,23,4.24,4.65,5.05
2023Q3,FOREST WOODS,19,5.51,5.79,6.24
2023Q3,FORTE SUITES,08,5.67,6.06,6.80
2023Q3,FOUR SEASONS PARK,10,5.31,5.74,5.99
2023Q3,FOURTH AVENUE RESIDENCES,10,7.10,7.36,7.71
2023Q3,FULCRUM,15,5.00,5.14,5.75
2023Q3,GALLOP GABLES,10,4.44,4.76,4.90
2023Q3,GARDENVISTA,21,4.69,5.08,5.49
2023Q3,GEM RESIDENCES,12,5.80,6.44,6.90
2023Q3,GILSTEAD TWO,11,5.78,6.06,6.39
2023Q3,GLENDALE PARK,23,3.36,3.64,4.04
2023Q3,GOLDENHILL PARK CONDOMINIUM,20,4.25,4.50,4.67
2023Q3,GOODWOOD RESIDENCE,10,6.15,6.68,7.19
2023Q3,GRAMERCY PARK,10,5.98,6.79,7.00
2023Q3,GRANDEUR 8,20,3.47,3.67,3.86
2023Q3,GRANDEUR PARK RESIDENCES,16,6.09,6.39,7.12
2023Q3,GRANGE HEIGHTS,09,3.23,3.59,4.27
2023Q3,GUILIN VIEW,23,3.49,4.01,4.27
2023Q3,GUILLEMARD EDGE,14,5.90,6.30,6.69
2023Q3,GUILLEMARD SUITES,14,5.78,6.17,6.49
2023Q3,H2O RESIDENCES,28,3.64,4.04,4.38
2023Q3,HAIG 162,15,6.26,7.04,7.65
2023Q3,HAIG COURT,15,3.41,3.81,4.22
2023Q3,HARBOUR VIEW TOWERS,04,4.06,4.26,4.72
2023Q3,HARBOURLIGHTS,04,4.70,4.81,4.95
2023Q3,HAUS ON HANDY,09,8.07,8.40,8.91
2023Q3,HAZEL PARK CONDOMINIUM,23,3.09,3.30,3.42
2023Q3,HEDGES PARK CONDOMINIUM,17,3.85,4.02,4.37
2023Q3,HELIOS RESIDENCES,09,5.48,5.94,6.13
2023Q3,HERITAGE VIEW,05,4.72,5.07,5.37
2023Q3,HIGH PARK RESIDENCES,28,4.59,5.14,5.94
2023Q3,HIGHLINE RESIDENCES,03,7.36,8.00,8.50
2023Q3,HILLBROOKS,23,3.10,3.55,3.92
2023Q3,HILLCREST ARCADIA,11,3.45,3.73,4.05
2023Q3,HILLINGTON GREEN,23,3.43,3.73,3.88
2023Q3,HILLION RESIDENCES,23,5.49,5.94,6.52
2023Q3,HILLSTA,23,4.06,4.51,5.10
2023Q3,HILLVIEW GREEN,21,3.34,3.55,3.90
2023Q3,HILLVIEW HEIGHTS,23,3.24,3.46,3.89
2023Q3,HILLVIEW REGENCY,23,3.93,4.02,4.11
2023Q3,HORIZON TOWERS,09,3.38,3.74,3.94
2023Q3,HUME PARK I,21,3.08,3.32,3.68
2023Q3,HUME PARK II,21,3.07,3.26,3.52
2023Q3,HUNDRED TREES,05,4.71,5.03,5.35
2023Q3,ICON,02,6.43,6.83,7.37
2023Q3,IDYLLIC SUITES,14,5.77,6.31,6.54
2023Q3,IMPERIAL HEIGHTS,15,4.15,5.41,5.76
2023Q3,INTERNATIONAL PLAZA,02,4.29,4.49,5.06
2023Q3,J GATEWAY,22,6.36,6.72,7.36
2023Q3,JADE RESIDENCES,19,4.45,5.18,5.71
2023Q3,JADESCAPE,20,6.23,6.54,7.20
2023Q3,JARDIN,21,4.37,4.51,5.08
2023Q3,JERVOIS LODGE,10,4.02,4.54,4.77
2023Q3,JEWEL @ BUANGKOK,19,4.79,5.02,5.34
2023Q3,KALLANG RIVERSIDE,12,6.05,6.19,6.47
2023Q3,KAP RESIDENCES,21,4.94,5.81,6.13
2023Q3,KATONG REGENCY,15,5.15,5.99,6.63
2023Q3,KENSINGTON PARK CONDOMINIUM,19,2.65,2.89,3.04
2023Q3,KENSINGTON SQUARE,19,4.52,5.08,5.97
2023Q3,KENT RIDGE HILL RESIDENCES,05,6.06,6.57,7.37
2023Q3,KERRISDALE,08,4.21,4.47,4.73
2023Q3,KIM SIA COURT,09,3.33,3.65,3.86
2023Q3,KINGSFORD . HILLVIEW PEAK,23,4.71,5.30,5.81
2023Q3,KINGSFORD WATERBAY,19,4.70,5.07,5.47
2023Q3,KOVAN MELODY,19,4.03,4.19,4.49
2023Q3,KOVAN REGENCY,19,4.92,5.22,5.84
2023Q3,KOVAN RESIDENCES,19,4.00,4.18,4.37
2023Q3,KUM HING COURT,10,2.77,2.95,3.08
2023Q3,L'VIV,11,5.64,5.94,6.36
2023Q3,LA BRISA,14,5.48,5.89,6.44
2023Q3,LA FIESTA,19,4.65,4.91,5.18
2023Q3,LA SUISSE,11,3.20,3.79,3.93
2023Q3,LAKE GRANDE,22,5.87,6.37,6.91
2023Q3,LAKEHOLMZ,22,3.36,3.87,4.24
2023Q3,LAKEPOINT CONDOMINIUM,22,2.08,2.39,2.98
2023Q3,LAKEVILLE,22,5.51,5.89,6.29
2023Q3,LATITUDE,10,5.66,6.07,6.31
2023Q3,LE CRESCENDO,14,4.05,4.22,4.37
2023Q3,LE QUEST,23,5.65,5.91,6.26
2023Q3,LEEDON RESIDENCE,10,6.32,6.51,7.27
2023Q3,LEONIE CONDOTEL,09,4.17,4.37,4.56
2023Q3,LEONIE GARDENS,09,3.54,4.13,4.41
2023Q3,LEONIE SUITES,09,5.53,5.83,6.04
2023Q3,LEONIE TOWERS,09,2.92,3.45,3.54
2023Q3,LINCOLN SUITES,11,5.13,6.86,7.27
2023Q3,LIVIA,18,3.53,3.77,3.93
2023Q3,LOFT @ NATHAN,10,6.10,6.97,7.76
2023Q3,LOTUS AT PAYA LEBAR (EAST WING),14,4.34,5.94,7.66
2023Q3,LOYANG VALLEY,17,2.36,2.64,2.69
2023Q3,LUCIDA,11,4.29,4.52,5.34
2023Q3,LUCKY PLAZA APARTMENTS,09,4.52,4.71,5.30
2023Q3,LUMIERE,02,6.14,6.34,6.97
2023Q3,MANDARIN GARDENS,15,3.25,3.82,4.13
2023Q3,MAPLE WOODS,21,4.03,4.37,4.66
2023Q3,MARGARET VILLE,03,7.00,7.15,8.18
2023Q3,MARINA BAY RESIDENCES,01,7.04,7.49,7.98
2023Q3,MARINA BAY SUITES,01,5.89,6.24,6.70
2023Q3,MARINA COLLECTION,04,4.95,5.34,5.84
2023Q3,MARINA ONE RESIDENCES,01,6.87,7.21,7.61
2023Q3,MARINE BLUE,15,5.77,6.04,6.26
2023Q3,MARTIN MODERN,09,8.17,8.60,8.86
2023Q3,MARTIN PLACE RESIDENCES,09,5.92,6.58,6.82
2023Q3,MAYFAIR GARDENS,21,5.97,6.23,6.76
2023Q3,MAYFAIR MODERN,21,6.19,6.53,7.09
2023Q3,MAYSPRINGS,23,3.32,4.15,4.20
2023Q3,MEADOWS @ PEIRCE,26,2.81,3.48,3.80
2023Q3,MELROSE PARK,10,5.17,5.31,5.57
2023Q3,MELVILLE PARK,18,3.42,3.65,3.91
2023Q3,MERAPRIME,03,5.73,5.99,6.37
2023Q3,MERAWOODS,23,3.00,3.30,3.48
2023Q3,MI CASA,23,3.15,3.32,3.42
2023Q3,MIDTOWN RESIDENCES,19,5.33,5.57,6.19
2023Q3,MIRAGE TOWER,09,4.68,4.89,5.56
2023Q3,MONTEREY PARK CONDOMINIUM,05,3.67,3.80,4.20
2023Q3,MY MANHATTAN,18,4.65,5.72,6.07
2023Q3,NASSIM REGENCY,10,5.64,5.84,6.20
2023Q3,NATHAN RESIDENCES,10,5.81,6.08,6.42
2023Q3,NATURA@HILLVIEW,23,5.42,5.69,6.08
2023Q3,NEEM TREE,12,5.82,5.93,6.64
2023Q3,NEPTUNE COURT,15,2.80,3.23,3.40
2023Q3,NEWEST,05,2.87,5.12,5.70
2023Q3,NEWTON EDGE,09,5.21,5.62,6.31
2023Q3,NEWTON GEMS,11,4.76,5.27,5.46
2023Q3,NEWTON SUITES,11,5.82,6.09,6.24
2023Q3,NIN RESIDENCE,13,4.54,5.06,5.50
2023Q3,NINE RESIDENCES,27,4.31,4.90,5.10
2023Q3,NINETEEN SHELFORD ROAD,11,4.45,4.72,5.04
2023Q3,NORMANTON PARK,05,6.40,6.65,6.96
2023Q3,NORTH PARK RESIDENCES,27,5.28,5.72,6.16
2023Q3,NORTHVALE,23,3.15,3.37,3.68
2023Q3,NOTTINGHILL SUITES,21,5.65,6.54,6.90
2023Q3,NOVENA REGENCY,11,5.87,6.26,6.54
2023Q3,NOVENA SUITES,11,5.37,5.69,5.97
2023Q3,NV RESIDENCES,18,3.97,4.24,4.67
2023Q3,OASIS @ ELIAS,18,3.36,3.47,3.71
2023Q3,OCEAN PARK,15,3.32,3.48,3.70
2023Q3,OKIO,12,6.08,6.41,7.26
2023Q3,OLEANAS RESIDENCE,09,4.06,4.73,5.05
2023Q3,OLEANDER TOWERS,12,3.50,3.72,4.15
2023Q3,ONE AMBER,15,4.50,4.71,5.40
2023Q3,ONE BALMORAL,10,5.96,6.01,6.53
2023Q3,ONE DEVONSHIRE,09,6.25,6.59,7.12
2023Q3,ONE DUSUN RESIDENCES,12,5.51,6.57,6.95
2023Q3,ONE JERVOIS,10,4.69,5.05,5.58
2023Q3,ONE LEICESTER,13,3.62,4.14,4.30
2023Q3,ONE MEYER,15,6.97,7.17,7.42
2023Q3,ONE OXLEY RISE,09,5.34,5.63,6.05
2023Q3,ONE SHENTON,01,5.72,6.31,7.86
2023Q3,ONE ST MICHAEL'S,12,3.96,4.19,4.26
2023Q3,ONE-NORTH RESIDENCES,05,4.70,5.31,5.99
2023Q3,ONZE @ TANJONG PAGAR,02,5.11,6.88,7.31
2023Q3,OPTIMA @ TANAH MERAH,16,4.37,4.59,4.94
2023Q3,ORCHARD SCOTTS,09,4.69,5.21,5.53
2023Q3,ORCHID PARK CONDOMINIUM,27,3.07,3.29,3.60
2023Q3,OUE TWIN PEAKS,09,7.83,8.20,8.56
2023Q3,PALM GARDENS,23,3.03,3.23,3.32
2023Q3,PALM ISLES,17,4.23,4.91,5.48
2023Q3,PALM SPRING,10,3.90,4.03,4.62
2023Q3,PANDAN VALLEY,21,2.85,3.00,3.26
2023Q3,PARC BOTANNIA,28,5.51,5.57,6.28
2023Q3,PARC CENTROS,19,3.92,4.56,6.06
2023Q3,PARC ELEGANCE,15,6.10,6.43,6.66
2023Q3,PARC EMILY,09,5.13,5.44,6.07
2023Q3,PARC ESTA,14,7.15,7.87,8.58
2023Q3,PARC HAVEN,12,3.89,4.15,4.43
2023Q3,PARC IMPERIAL,05,7.29,7.53,7.85
2023Q3,PARC OASIS,22,3.36,3.82,3.99
2023Q3,PARC OLYMPIA,17,4.12,4.68,5.50
2023Q3,PARC PALAIS,21,3.37,3.52,3.73
2023Q3,PARC RIVIERA,05,5.77,6.19,6.65
2023Q3,PARC ROSEWOOD,25,5.05,5.68,6.04
2023Q3,PARC SOPHIA,09,5.75,6.01,6.46
2023Q3,PARC VERA,19,3.88,4.16,4.40
2023Q3,PARC VISTA,22,3.23,3.62,3.79
2023Q3,PARK COLONIAL,13,6.78,7.35,7.66
2023Q3,PARK INFINIA AT WEE NAM,11,5.68,5.84,6.25
2023Q3,PARK NATURA,23,3.19,3.31,3.86
2023Q3,PARK PLACE RESIDENCES AT PLQ,14,7.11,7.64,8.26
2023Q3,PARKSHORE,15,3.79,3.96,4.34
2023Q3,PARKSUITES,10,6.36,6.62,7.08
2023Q3,PARKVIEW APARTMENTS,23,3.17,3.44,3.92
2023Q3,PARVIS,10,5.59,5.88,6.46
2023Q3,PATERSON RESIDENCE,09,5.62,5.86,5.93
2023Q3,PAVILION 11,11,4.44,4.58,4.76
2023Q3,PEBBLE BAY,15,4.14,4.50,4.78
2023Q3,PEOPLE'S PARK COMPLEX,01,4.70,4.96,6.11
2023Q3,PETIT JERVOIS,10,7.51,7.81,8.86
2023Q3,PINNACLE 16,12,5.49,5.71,5.90
2023Q3,POLLEN & BLEU,10,5.35,5.65,6.00
2023Q3,PRESTIGE HEIGHTS,12,6.95,7.41,7.90
2023Q3,PRINCIPAL GARDEN,03,6.49,6.90,7.79
2023Q3,Q BAY RESIDENCES,18,3.76,4.22,4.65
2023Q3,QUEENS,03,4.90,5.07,5.39
2023Q3,QUEENS PEAK,03,7.04,7.97,8.74
2023Q3,REFLECTIONS AT KEPPEL BAY,04,5.36,5.64,5.99
2023Q3,REGENCY PARK,10,3.68,4.19,4.52
2023Q3,REGENT GROVE,23,3.34,3.54,3.65
2023Q3,REGENT HEIGHTS,23,3.54,3.72,3.89
2023Q3,REGENT PARK,05,3.94,4.37,4.77
2023Q3,REGENT RESIDENCES,12,4.95,5.26,7.21
2023Q3,REGENTVILLE,19,3.47,3.65,3.89
2023Q3,RESIDENCES @ EVELYN,11,4.73,4.99,5.44
2023Q3,REZI 26,14,4.44,5.50,6.31
2023Q3,RICHMOND PARK,09,5.10,5.29,6.00
2023Q3,RIDGEWOOD,10,2.97,3.36,3.63
2023Q3,RIO VISTA,19,3.26,3.34,3.53
2023Q3,RIPPLE BAY,18,4.08,4.45,5.10
2023Q3,RIS GRANDEUR,18,3.00,3.17,3.30
2023Q3,RIVER ISLES,19,3.66,3.81,4.01
2023Q3,RIVER PLACE,03,4.85,5.15,5.62
2023Q3,RIVERBANK @ FERNVALE,28,4.33,5.00,5.23
2023Q3,RIVERBAY,12,4.80,5.25,6.06
2023Q3,RIVERFRONT RESIDENCES,19,5.54,5.81,6.27
2023Q3,RIVERGATE,09,6.17,6.76,7.07
2023Q3,RIVERSAILS,19,4.11,4.24,4.87
2023Q3,RIVERSIDE 48,09,5.39,5.43,5.72
2023Q3,RIVERSOUND RESIDENCE,19,3.68,4.04,4.53
2023Q3,RIVERTREES RESIDENCES,28,4.43,5.00,5.12
2023Q3,RIVERVALE CREST,19,3.32,3.49,3.68
2023Q3,RIVERWALK APARTMENTS,01,3.98,4.52,5.38
2023Q3,RIVIERE,03,7.50,8.06,8.63
2023Q3,ROBERTSON 100,09,4.69,5.80,5.98
2023Q3,ROBIN RESIDENCES,10,6.27,6.56,7.29
2023Q3,ROBIN SUITES,10,6.41,7.56,7.99
2023Q3,ROBINSON SUITES,01,7.64,7.82,8.10
2023Q3,ROYALGREEN,10,6.76,7.02,7.35
2023Q3,RV RESIDENCES,10,6.64,7.10,8.34
2023Q3,RV SUITES,10,6.28,6.66,7.04
2023Q3,SAM KIANG MANSIONS,09,3.50,3.90,4.38
2023Q3,SANCTUARY GREEN,15,4.23,4.48,4.88
2023Q3,SANT RITZ,13,5.01,5.22,6.09
2023Q3,SAVANNAH CONDOPARK,18,3.20,3.63,3.84
2023Q3,SCOTTS 28,09,4.55,4.75,4.99
2023Q3,SCOTTS SQUARE,09,7.63,7.96,8.61
2023Q3,SEA ESTA,18,4.02,4.19,4.45
2023Q3,SEAHILL,05,5.63,5.98,6.92
2023Q3,SEASCAPE,04,5.26,5.78,6.01
2023Q3,SEASIDE RESIDENCES,15,6.08,6.59,6.81
2023Q3,SEASTRAND,18,3.86,4.47,4.90
2023Q3,SELETAR PARK RESIDENCE,28,3.76,4.12,4.88
2023Q3,SENNETT ESTATE,13,3.10,3.16,3.95
2023Q3,SENNETT RESIDENCE,13,5.04,5.31,5.96
2023Q3,SEVENTY SAINT PATRICK'S,15,5.05,5.16,5.36
2023Q3,SIGLAP V,15,4.10,4.71,5.21
2023Q3,SIGNATURE PARK,21,3.14,3.48,3.68
2023Q3,SILVERSEA,15,5.08,5.39,5.79
2023Q3,SIMS URBAN OASIS,14,6.24,6.60,7.27
2023Q3,SIMSVILLE,14,3.60,3.88,4.25
2023Q3,SKIES MILTONIA,27,3.76,4.48,5.12
2023Q3,SKY GREEN,13,4.90,5.87,6.52
2023Q3,SKY HABITAT,20,4.47,5.00,5.35
2023Q3,SKY VUE,20,5.58,6.19,6.90
2023Q3,SKY@ELEVEN,11,4.62,4.72,4.98
2023Q3,SKYLINE RESIDENCES,04,5.48,6.03,6.73
2023Q3,SKYSUITES17,12,6.24,6.52,7.92
2023Q3,SKYSUITES@ANSON,02,7.88,8.58,9.01
2023Q3,SOHO 188,08,5.93,6.77,7.84
2023Q3,SOLEIL @ SINARAN,11,6.19,6.73,7.29
2023Q3,SOMMERVILLE PARK,10,3.90,4.22,4.61
2023Q3,SOPHIA HILLS,09,5.36,6.76,7.31
2023Q3,SOPHIA RESIDENCE,09,4.69,4.99,5.26
2023Q3,SOUTHAVEN II,21,3.16,3.48,3.92
2023Q3,SOUTHBANK,07,5.66,5.86,6.85
2023Q3,SPACE @ KOVAN,19,4.14,5.19,5.54
2023Q3,SPANISH VILLAGE,10,2.99,3.55,4.42
2023Q3,SPOTTISWOODE 18,02,6.71,8.13,8.58
2023Q3,SPOTTISWOODE PARK,02,3.23,3.76,4.12
2023Q3,SPOTTISWOODE RESIDENCES,02,6.15,6.53,6.80
2023Q3,SPOTTISWOODE SUITES,02,6.88,7.62,8.08
2023Q3,SPRING GROVE,10,4.94,5.17,5.51
2023Q3,SPRINGDALE CONDOMINIUM,21,3.74,3.91,4.16
2023Q3,ST REGIS RESIDENCES SINGAPORE,10,5.66,5.90,6.30
2023Q3,ST THOMAS SUITES,09,5.50,5.96,6.30
2023Q3,STARLIGHT SUITES,09,6.35,6.47,6.79
2023Q3,STARS OF KOVAN,19,5.37,5.53,5.74
2023Q3,STARVILLE,14,3.71,3.78,3.93
2023Q3,STELLAR RV,10,5.55,6.72,7.15
2023Q3,STIRLING RESIDENCES,03,7.37,7.70,8.12
2023Q3,STRATA,11,4.50,4.88,7.02
2023Q3,STRATUM,18,4.32,4.73,5.09
2023Q3,STURDEE RESIDENCES,08,6.00,6.85,7.97
2023Q3,SUITES @ EASTCOAST,15,5.63,6.19,6.83
2023Q3,SUITES AT ORCHARD,09,7.00,7.50,7.91
2023Q3,SUMMERHILL,21,3.18,3.55,3.94
2023Q3,SUNGLADE,19,3.83,4.04,4.30
2023Q3,SUNHAVEN,16,3.03,3.18,3.33
2023Q3,SUNSHINE PLAZA,07,5.31,5.63,5.90
2023Q3,SYMPHONY HEIGHTS,21,3.30,3.76,4.07
2023Q3,SYMPHONY SUITES,27,4.37,4.69,4.83
2023Q3,TANGLIN PARK,10,4.53,4.81,5.13
2023Q3,TANGLIN REGENCY,10,4.91,5.13,5.29
2023Q3,TANGLIN VIEW,03,4.58,4.93,5.15
2023Q3,TANJONG RIA CONDOMINIUM,15,3.57,4.13,4.57
