Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2023Q2,120 GRANGE,10,8.11,8.55,8.76
2023Q2,18 WOODSVILLE,13,3.66,5.26,6.01
2023Q2,1919,09,5.75,6.39,6.65
2023Q2,1953,08,6.03,6.16,6.68
2023Q2,26 NEWTON,11,6.45,7.02,7.39
2023Q2,38 I SUITES,15,5.23,5.93,6.33
2023Q2,6 DERBYSHIRE,11,5.54,6.45,6.57
2023Q2,76 SHENTON,02,7.07,7.64,7.97
2023Q2,8 @ MOUNT SOPHIA,09,4.80,5.23,5.56
2023Q2,8 SAINT THOMAS,09,7.41,8.08,8.40
2023Q2,8@WOODLEIGH,13,4.83,5.12,5.81
2023Q2,A TREASURE TROVE,19,4.15,4.47,4.89
2023Q2,ALEX RESIDENCES,03,7.06,7.56,7.92
2023Q2,ALEXIS,03,5.43,6.52,8.04
2023Q2,ALTEZ,02,7.15,8.20,8.71
2023Q2,AMARYLLIS VILLE,11,5.49,5.64,5.88
2023Q2,AMBER 45,15,6.73,6.81,7.53
2023Q2,AMBERGLADES,15,4.14,4.20,4.32
2023Q2,AQUARIUS BY THE PARK,16,3.45,3.63,3.93
2023Q2,ARCHIPELAGO,16,3.97,4.65,5.19
2023Q2,ARDMORE PARK,10,6.45,6.93,7.54
2023Q2,ARTRA,03,6.97,7.60,7.98
2023Q2,ASCENT @ 456,12,4.65,5.01,5.08
2023Q2,ASCENTIA SKY,03,5.42,5.60,6.08
2023Q2,ASPEN HEIGHTS,09,4.65,5.06,5.29
2023Q2,ASTORIA PARK,14,3.71,4.13,4.44
2023Q2,ASTRID MEADOWS,10,4.24,4.59,5.15
2023Q2,AVA TOWERS,12,2.54,2.96,3.39
2023Q2,AVENUE SOUTH RESIDENCE,03,6.83,7.04,7.21
2023Q2,AVILA GARDENS,17,3.10,3.36,3.84
2023Q2,AVON PARK,13,3.49,3.76,4.19
2023Q2,AZALEA PARK CONDOMINIUM,17,2.66,2.86,2.92
2023Q2,BALLOTA PARK CONDOMINIUM,17,2.76,3.12,3.34
2023Q2,BARTLEY RESIDENCES,19,4.82,5.18,6.75
2023Q2,BARTLEY RIDGE,13,5.00,5.50,6.27
2023Q2,BAYSHORE PARK,16,3.30,3.70,4.09
2023Q2,BEACON HEIGHTS,12,4.50,4.59,4.98
2023Q2,BEDOK RESIDENCES,16,5.21,5.67,6.24
2023Q2,BELMOND GREEN,10,4.93,5.24,5.63
2023Q2,BIJOU,05,6.25,6.64,6.84
2023Q2,BLOSSOMS @ WOODLEIGH,13,4.06,4.31,4.58
2023Q2,BLUE HORIZON,05,4.38,4.60,5.08
2023Q2,BOTANIC GARDENS VIEW,10,3.48,4.02,4.48
2023Q2,BOTANIQUE AT BARTLEY,19,5.33,5.79,6.12
2023Q2,BOTANNIA,05,4.34,4.67,4.80
2023Q2,BULLION PARK,26,3.30,3.72,4.02
2023Q2,BURLINGTON SQUARE,07,4.92,5.46,5.90
2023Q2,CAIRNHILL CREST,09,5.00,5.77,5.98
2023Q2,CAIRNHILL NINE,09,7.84,8.37,8.75
2023Q2,CAPE ROYALE,04,5.77,6.70,7.15
2023Q2,CARABELLE,05,3.96,4.08,4.47
2023Q2,CARIBBEAN AT KEPPEL BAY,04,5.82,6.16,6.64
2023Q2,CARISSA PARK CONDOMINIUM,17,2.65,3.02,3.46
2023Q2,CASA CAMBIO,19,5.67,6.10,6.61
2023Q2,CASA MERAH,16,3.86,4.26,4.44
2023Q2,CASA SARINA,14,3.03,3.15,3.68
2023Q2,CASABLANCA,25,3.59,3.77,3.91
2023Q2,CASHEW HEIGHTS CONDOMINIUM,23,2.76,3.01,3.23
2023Q2,CASPIAN,22,4.22,4.56,5.12
2023Q2,CASTLE GREEN,26,3.47,3.69,4.11
2023Q2,CASUARINA COVE,15,3.24,4.22,4.43
2023Q2,CAVENAGH GARDENS,09,2.58,3.06,3.92
2023Q2,CAVENAGH LODGE,09,3.25,3.72,3.88
2023Q2,CAVENDISH PARK,21,4.10,4.28,4.44
2023Q2,CENTRA HEIGHTS,14,6.14,6.50,6.85
2023Q2,CENTRA RESIDENCE,14,5.11,6.19,6.56
2023Q2,CENTRAL GREEN CONDOMINIUM,03,4.53,4.78,5.10
2023Q2,CENTRO RESIDENCES,20,4.07,4.84,5.20
2023Q2,CHANGI COURT,16,3.10,3.61,3.92
2023Q2,CHANGI GREEN,16,3.18,3.50,3.74
2023Q2,CHANGI RISE CONDOMINIUM,18,3.46,3.51,3.81
2023Q2,CHILTERN PARK,19,3.83,4.03,4.24
2023Q2,CHUAN PARK,19,2.81,2.98,3.32
2023Q2,CITY GATE,07,4.46,5.36,7.52
2023Q2,CITY SQUARE RESIDENCES,08,4.93,5.34,6.00
2023Q2,CITYLIGHTS,08,5.15,5.78,6.64
2023Q2,CITYSCAPE @FARRER PARK,08,4.20,4.44,4.65
2023Q2,CLEMENTI PARK,21,2.90,3.23,3.46
2023Q2,CLIVEDEN AT GRANGE,10,5.57,5.71,5.83
2023Q2,CLOVER BY THE PARK,20,3.90,4.27,4.47
2023Q2,COCO PALMS,18,4.40,5.24,5.50
2023Q2,COMMONWEALTH TOWERS,03,7.43,7.93,8.45
2023Q2,COMPASS HEIGHTS,19,3.28,3.65,3.86
2023Q2,CONCOURSE SKYLINE,07,5.86,6.03,6.45
2023Q2,CORALIS,15,5.41,5.69,6.16
2023Q2,CORALS AT KEPPEL BAY,04,6.40,6.76,7.07
2023Q2,COSTA DEL SOL,16,4.34,4.57,4.84
2023Q2,COSTA RHU,15,4.05,4.43,4.65
2023Q2,COTE D'AZUR,15,4.31,4.60,4.80
2023Q2,CRADELS,12,5.82,6.72,6.88
2023Q2,CUBE 8,11,4.92,5.54,5.81
2023Q2,CYAN,10,5.15,5.59,6.00
2023Q2,D'LEEDON,10,5.42,5.77,6.30
2023Q2,D'NEST,18,4.38,4.80,5.44
2023Q2,DAHLIA PARK CONDOMINIUM,17,3.14,3.28,3.36
2023Q2,DAINTREE RESIDENCE,21,5.76,6.03,6.23
2023Q2,DAKOTA RESIDENCES,14,4.64,5.08,5.39
2023Q2,DOUBLE BAY RESIDENCES,18,3.86,4.14,4.57
2023Q2,DOVER PARKVIEW,05,4.16,4.44,4.74
2023Q2,DRAYCOTT EIGHT,10,6.11,7.23,7.57
2023Q2,DUO RESIDENCES,07,7.38,7.88,8.46
2023Q2,EAST MEADOWS,16,3.78,3.90,4.04
2023Q2,EASTERN LAGOON,15,3.22,3.59,4.10
2023Q2,EASTPOINT GREEN,18,3.37,3.67,3.92
2023Q2,EASTWOOD REGENCY,16,5.44,6.02,6.19
2023Q2,ECHELON,03,6.58,7.24,7.73
2023Q2,ECO,16,4.65,5.31,5.60
2023Q2,ECO SANCTUARY,23,4.81,4.99,5.55
2023Q2,EDELWEISS PARK CONDOMINIUM,17,3.68,3.84,4.06
2023Q2,EIGHT COURTYARDS,27,3.78,4.10,4.62
2023Q2,EIGHT RIVERSUITES,12,5.27,6.07,7.48
2023Q2,EMERALD GARDEN,01,4.74,5.22,5.49
2023Q2,EMERALD PARK,03,4.25,4.56,5.11
2023Q2,EON SHENTON,02,7.64,8.36,8.99
2023Q2,ESPADA,09,6.80,7.13,7.52
2023Q2,ESTA RUBY,14,4.39,4.51,4.78
2023Q2,ESTELLA GARDENS,17,2.88,3.42,4.04
2023Q2,EUHABITAT,14,4.38,5.52,5.99
2023Q2,EUPHONY GARDENS,27,2.78,2.96,3.67
2023Q2,EURO-ASIA APARTMENTS,12,1.70,2.06,2.55
2023Q2,FENG LAI MANSION,14,4.29,4.29,4.29
2023Q2,FERNWOOD TOWERS,15,2.98,3.35,3.52
2023Q2,FERRARIA PARK CONDOMINIUM,17,2.88,3.52,3.70
2023Q2,FLAMINGO VALLEY,15,4.10,4.55,5.27
